type_of_house;street;house_number
house;1-й Академический переулок;6
house;1-й Академический переулок;7
house;1-й Академический переулок;1
house;1-й Академический переулок;16
house;1-й Академический переулок;15.янв
house;1-й Академический переулок;8
house;1-й Академический переулок;18
house;1-й Академический переулок;15
house;1-й Академический переулок;5
house;1-й Академический переулок;10
house;1-й Академический переулок;4
house;1-й Академический переулок;14
house;1-й Академический переулок;2
house;1-й Академический переулок;20
house;1-й Академический переулок;13
house;1-й Академический переулок;11
house;1-й Академический переулок;3
house;1-й Академический переулок;12
house;1-й Академический переулок;9
house;1-й Сайсарский переулок;5
house;1-й Сайсарский переулок;9
house;1-й Сайсарский переулок;12
house;1-й Сайсарский переулок;17
house;1-й Сайсарский переулок;8
house;1-й Сайсарский переулок;10
apartments;1-й Сайсарский переулок;1
house;1-й Сайсарский переулок;13
house;1-й Сайсарский переулок;11
house;1-й Сайсарский переулок;3
house;1-й Сайсарский переулок;7
house;2-й Академический переулок;3
house;2-й Академический переулок;13
house;2-й Академический переулок;2
house;2-й Академический переулок;16
house;2-й Академический переулок;18
house;2-й Академический переулок;12
house;2-й Академический переулок;15
house;2-й Академический переулок;8
house;2-й Академический переулок;5
house;2-й Академический переулок;10
house;2-й Академический переулок;6
house;2-й Академический переулок;1
house;2-й Академический переулок;4
house;2-й Академический переулок;11
house;2-й Академический переулок;9
house;2-й Академический переулок;14
house;2-й Академический переулок;7
house;2-й Сайсарский переулок;17.фев
yes;2-й Сайсарский переулок;16
yes;2-й Сайсарский переулок;3
yes;2-й Сайсарский переулок;4
house;2-й Сайсарский переулок;109
yes;2-й Сайсарский переулок;12
yes;2-й Сайсарский переулок;5
house;2-й Сайсарский переулок;18
house;2-й Сайсарский переулок;13
house;2-й Сайсарский переулок;19
yes;2-й Сайсарский переулок;7
house;2-й Сайсарский переулок;17
yes;2-й Сайсарский переулок;8
yes;2-й Сайсарский переулок;6
yes;2-й Сайсарский переулок;9
yes;2-й Сайсарский переулок;11
house;2-й Сайсарский переулок;15
house;3-й Академический переулок;15
house;3-й Академический переулок;7
house;3-й Академический переулок;5
house;3-й Академический переулок;4
house;3-й Академический переулок;9
house;3-й Академический переулок;1
house;3-й Академический переулок;11
house;3-й Академический переулок;18
house;3-й Академический переулок;12
house;3-й Академический переулок;6
house;3-й Академический переулок;13
house;3-й Академический переулок;14
house;3-й Академический переулок;16
house;3-й Академический переулок;10
house;3-й Академический переулок;20
house;3-й Академический переулок;19
house;3-й Академический переулок;2
house;3-й Академический переулок;8
house;3-й Академический переулок;3
house;3-й Академический переулок;17
yes;Борисовка 1 микрорайон;1А
yes;Вилюйский тракт;01.янв
house;Вилюйский тракт;13.фев
yes;Вилюйский тракт;мар.25
yes;Вилюйский тракт;15
yes;Вилюйский тракт;мар.23
yes;Вилюйский тракт;20А
yes;Вилюйский тракт;19
yes;Вилюйский тракт;16
yes;Вилюйский тракт;26
detached;Вилюйский тракт;27
yes;Вилюйский тракт;30
yes;Вилюйский тракт;3/22а
yes;Вилюйский тракт;1
yes;Вилюйский тракт;3
yes;Вилюйский тракт;10А
yes;Вилюйский тракт;14
yes;Вилюйский тракт;11
yes;Вилюйский тракт;25
yes;Вилюйский тракт;2
yes;Вилюйский тракт;3/14а
yes;Вилюйский тракт;13
yes;Вилюйский тракт;12
yes;Вилюйский тракт;24А
house;Вилюйский тракт;07.янв
house;Вилюйский тракт;7
yes;Вилюйский тракт;03.янв
house;Вилюйский тракт;19.янв
house;Вилюйский тракт;13
house;Вилюйский тракт;15.фев
house;Вилюйский тракт;17.янв
house;Вилюйский тракт;17.фев
house;Вилюйский тракт;13.янв
yes;Вилюйский тракт;к5
yes;Вилюйский тракт;6
yes;Вилюйский тракт;03.фев
yes;Вилюйский тракт;03.апр
yes;Вилюйский тракт;3/4 с2
yes;Вилюйский тракт;3 к3
yes;Вилюйский тракт;3/4 с3
yes;Вилюйский тракт;к2
yes;Вилюйский тракт;3 к1
yes;Вилюйский тракт;3/4 с1
house;Вилюйский тракт 3 км;25
house;Вилюйский тракт 3 км;23
yes;Вилюйский тракт 3 км;01.янв
yes;Вилюйский тракт 3 км;01.июн
house;Вилюйский тракт 3 км;49
commercial;Вилюйский тракт 3 км;31.янв
yes;Вилюйский тракт 3 км;01.фев
