add;fid;full_id;osm_id;osm_type;building;addr_stree;addr_postc;addr_hou_1;addr_city
434;434;w140964377;140964377;way;house;1-й јкадемический переулок;677008;11;якутск
438;438;w140964386;140964386;way;house;1-й јкадемический переулок;677008;9;якутск
440;440;w140964388;140964388;way;house;1-й јкадемический переулок;677008;13;якутск
446;446;w140964405;140964405;way;house;1-й јкадемический переулок;677008;20;якутск
467;467;w140964455;140964455;way;house;1-й јкадемический переулок;677008;3;якутск
477;477;w140964471;140964471;way;house;1-й јкадемический переулок;677008;4;якутск
482;482;w140964479;140964479;way;house;1-й јкадемический переулок;677008;10;якутск
484;484;w140964484;140964484;way;house;1-й јкадемический переулок;677008;12;якутск
493;493;w140964499;140964499;way;house;1-й јкадемический переулок;677008;2;якутск
502;502;w140964518;140964518;way;house;1-й јкадемический переулок;677008;14;якутск
521;521;w140964555;140964555;way;house;1-й јкадемический переулок;677008;18;якутск
540;540;w140964600;140964600;way;house;1-й јкадемический переулок;677008;16;якутск
543;543;w140964605;140964605;way;house;1-й јкадемический переулок;677008;15;якутск
547;547;w140964616;140964616;way;house;1-й јкадемический переулок;677008;1;якутск
550;550;w140964619;140964619;way;house;1-й јкадемический переулок;677008;8;якутск
552;552;w140964626;140964626;way;house;1-й јкадемический переулок;677008;5;якутск
556;556;w140964638;140964638;way;house;1-й јкадемический переулок;677008;6;якутск
565;565;w140964657;140964657;way;house;1-й јкадемический переулок;677008;44941;якутск
567;567;w140964668;140964668;way;house;1-й јкадемический переулок;677008;7;якутск
364;364;w99304110;99304110;way;house;1-й —айсарский переулок;677010;13;якутск
365;365;w99304113;99304113;way;house;1-й —айсарский переулок;677010;11;якутск
387;387;w99304165;99304165;way;house;1-й —айсарский переулок;677010;7;якутск
397;397;w99304182;99304182;way;house;1-й —айсарский переулок;677010;8;якутск
398;398;w99304185;99304185;way;house;1-й —айсарский переулок;677010;5;якутск
406;406;w99304203;99304203;way;apartments;1-й —айсарский переулок;677010;1;якутск
409;409;w99304207;99304207;way;house;1-й —айсарский переулок;677010;9;якутск
415;415;w99304225;99304225;way;house;1-й —айсарский переулок;677010;12;якутск
418;418;w99304231;99304231;way;house;1-й —айсарский переулок;677010;10;якутск
419;419;w99304233;99304233;way;house;1-й —айсарский переулок;677010;3;якутск
