id;"""building""";"""addr_stree""";"""addr_hou_1""";официальное_число_жителей;фактическое_число_жителей;выгода
1;house;1-й Академический переулок;11;20;17;-3000
2;house;1-й Академический переулок;9;29;26;-3000
3;house;1-й Академический переулок;13;3;14;11000
4;house;1-й Академический переулок;20;10;29;19000
5;house;1-й Академический переулок;3;14;13;-1000
6;house;1-й Академический переулок;4;29;34;5000
7;house;1-й Академический переулок;10;25;13;-12000
8;house;1-й Академический переулок;12;24;9;-15000
9;house;1-й Академический переулок;2;26;12;-14000
10;house;1-й Академический переулок;14;22;13;-9000
11;house;1-й Академический переулок;18;4;31;27000
12;house;1-й Академический переулок;16;28;12;-16000
13;house;1-й Академический переулок;15;15;23;8000
14;house;1-й Академический переулок;1;28;36;8000
15;house;1-й Академический переулок;8;2;31;29000
16;house;1-й Академический переулок;5;6;32;26000
17;house;1-й Академический переулок;6;5;29;24000
18;house;1-й Академический переулок;44941;0;27;27000
19;house;1-й Академический переулок;7;25;26;1000
20;house;1-й Сайсарский переулок;13;20;34;14000
21;house;1-й Сайсарский переулок;11;22;24;2000
22;house;1-й Сайсарский переулок;7;17;15;-2000
23;house;1-й Сайсарский переулок;8;17;13;-4000
24;house;1-й Сайсарский переулок;5;20;30;10000
25;apartments;1-й Сайсарский переулок;1;21;28;7000
26;house;1-й Сайсарский переулок;9;25;14;-11000
27;house;1-й Сайсарский переулок;12;3;17;14000
28;house;1-й Сайсарский переулок;10;18;10;-8000
29;house;1-й Сайсарский переулок;3;20;33;13000
30;house;1-й Сайсарский переулок;17;20;30;10000
31;house;2-й Академический переулок;3;12;10;-2000
32;house;2-й Академический переулок;9;28;36;8000
33;house;2-й Академический переулок;13;21;35;14000
34;house;2-й Академический переулок;4;9;10;1000
35;house;2-й Академический переулок;11;16;23;7000
36;house;2-й Академический переулок;1;29;13;-16000
37;house;2-й Академический переулок;14;26;34;8000
38;house;2-й Академический переулок;7;28;11;-17000
39;house;2-й Академический переулок;10;17;9;-8000
40;house;2-й Академический переулок;2;25;29;4000
41;house;2-й Академический переулок;15;2;15;13000
42;house;2-й Академический переулок;18;5;17;12000
43;house;2-й Академический переулок;12;12;10;-2000
44;house;2-й Академический переулок;8;2;36;34000
45;house;2-й Академический переулок;16;11;12;1000
46;house;2-й Академический переулок;6;11;13;2000
47;house;2-й Академический переулок;5;11;24;13000
48;yes;2-й Сайсарский переулок;16;24;33;9000
49;yes;2-й Сайсарский переулок;6;13;34;21000
50;house;2-й Сайсарский переулок;15;14;24;10000
51;yes;2-й Сайсарский переулок;9;25;37;12000
52;yes;2-й Сайсарский переулок;11;28;35;7000
53;house;2-й Сайсарский переулок;18;16;29;13000
54;house;2-й Сайсарский переулок;19;17;23;6000
55;yes;2-й Сайсарский переулок;5;7;16;9000
56;house;2-й Сайсарский переулок;44974;21;17;-4000
57;house;2-й Сайсарский переулок;109;22;18;-4000
58;yes;2-й Сайсарский переулок;8;3;23;20000
59;house;2-й Сайсарский переулок;17;22;29;7000
60;yes;2-й Сайсарский переулок;12;23;11;-12000
61;yes;2-й Сайсарский переулок;3;5;20;15000
62;yes;2-й Сайсарский переулок;4;29;37;8000
63;yes;2-й Сайсарский переулок;7;0;14;14000
64;house;2-й Сайсарский переулок;13;28;26;-2000
65;house;3-й Академический переулок;15;29;27;-2000
66;house;3-й Академический переулок;3;0;19;19000
67;house;3-й Академический переулок;19;19;14;-5000
68;house;3-й Академический переулок;2;13;10;-3000
69;house;3-й Академический переулок;20;0;11;11000
70;house;3-й Академический переулок;5;5;9;4000
71;house;3-й Академический переулок;10;25;20;-5000
72;house;3-й Академический переулок;17;9;13;4000
73;house;3-й Академический переулок;14;21;10;-11000
74;house;3-й Академический переулок;8;20;10;-10000
75;house;3-й Академический переулок;16;21;13;-8000
76;house;3-й Академический переулок;6;5;29;24000
77;house;3-й Академический переулок;7;19;36;17000
78;house;3-й Академический переулок;13;1;22;21000
79;house;3-й Академический переулок;4;13;26;13000
80;house;3-й Академический переулок;9;8;14;6000
81;house;3-й Академический переулок;12;22;10;-12000
82;house;3-й Академический переулок;11;18;15;-3000
83;house;3-й Академический переулок;18;14;14;0
84;house;3-й Академический переулок;1;0;28;28000
85;yes;Вилюйский тракт;к2;17;25;8000
86;yes;Вилюйский тракт;3 к3;30;24;-6000
87;yes;Вилюйский тракт;3/4 с1;18;37;19000
88;yes;Вилюйский тракт;3 к1;4;13;9000
89;yes;Вилюйский тракт;3/4 с3;22;12;-10000
90;yes;Вилюйский тракт;45019;19;35;16000
91;yes;Вилюйский тракт;3/4 с2;10;17;7000
92;yes;Вилюйский тракт;44960;24;29;5000
93;yes;Вилюйский тракт;44927;30;27;-3000
94;yes;Вилюйский тракт;к5;14;22;8000
95;house;Вилюйский тракт;44939;28;23;-5000
96;house;Вилюйский тракт;44974;24;27;3000
97;house;Вилюйский тракт;44943;27;22;-5000
98;house;Вилюйский тракт;44972;25;19;-6000
99;house;Вилюйский тракт;13;17;17;0
100;house;Вилюйский тракт;44945;18;30;12000
101;yes;Вилюйский тракт;44929;4;12;8000
102;house;Вилюйский тракт;44970;23;28;5000
103;house;Вилюйский тракт;7;17;33;16000
104;house;Вилюйский тракт;44933;14;11;-3000
105;yes;Вилюйский тракт;3/14а;15;20;5000
106;yes;Вилюйский тракт;14;4;34;30000
107;yes;Вилюйский тракт;13;26;20;-6000
108;yes;Вилюйский тракт;12;16;27;11000
109;yes;Вилюйский тракт;11;22;10;-12000
110;yes;Вилюйский тракт;10А;8;25;17000
111;yes;Вилюйский тракт;3;13;10;-3000
112;yes;Вилюйский тракт;1;7;18;11000
113;yes;Вилюйский тракт;2;22;23;1000
114;yes;Вилюйский тракт;24А;16;29;13000
115;yes;Вилюйский тракт;25;24;37;13000
116;yes;Вилюйский тракт;26;4;36;32000
117;yes;Вилюйский тракт;15;3;29;26000
