id;"""building""";address;число_жителей
1;house;1-й Академический переулок 11;20
2;house;1-й Академический переулок 9;29
3;house;1-й Академический переулок 13;3
4;house;1-й Академический переулок 20;10
5;house;1-й Академический переулок 3;14
6;house;1-й Академический переулок 4;29
7;house;1-й Академический переулок 10;25
8;house;1-й Академический переулок 12;24
9;house;1-й Академический переулок 2;26
10;house;1-й Академический переулок 14;22
11;house;1-й Академический переулок 18;4
12;house;1-й Академический переулок 16;28
13;house;1-й Академический переулок 15;15
14;house;1-й Академический переулок 1;28
15;house;1-й Академический переулок 8;2
16;house;1-й Академический переулок 5;6
17;house;1-й Академический переулок 6;5
18;house;1-й Академический переулок 44941;0
19;house;1-й Академический переулок 7;25
20;house;1-й Сайсарский переулок 13;20
21;house;1-й Сайсарский переулок 11;22
22;house;1-й Сайсарский переулок 7;17
23;house;1-й Сайсарский переулок 8;17
24;house;1-й Сайсарский переулок 5;20
25;apartments;1-й Сайсарский переулок 1;21
26;house;1-й Сайсарский переулок 9;25
27;house;1-й Сайсарский переулок 12;3
28;house;1-й Сайсарский переулок 10;18
29;house;1-й Сайсарский переулок 3;20
30;house;1-й Сайсарский переулок 17;20
31;house;2-й Академический переулок 3;12
32;house;2-й Академический переулок 9;28
33;house;2-й Академический переулок 13;21
34;house;2-й Академический переулок 4;9
35;house;2-й Академический переулок 11;16
36;house;2-й Академический переулок 1;29
37;house;2-й Академический переулок 14;26
38;house;2-й Академический переулок 7;28
39;house;2-й Академический переулок 10;17
40;house;2-й Академический переулок 2;25
41;house;2-й Академический переулок 15;2
42;house;2-й Академический переулок 18;5
43;house;2-й Академический переулок 12;12
44;house;2-й Академический переулок 8;2
45;house;2-й Академический переулок 16;11
46;house;2-й Академический переулок 6;11
47;house;2-й Академический переулок 5;11
48;yes;2-й Сайсарский переулок 16;24
49;yes;2-й Сайсарский переулок 6;13
50;house;2-й Сайсарский переулок 15;14
51;yes;2-й Сайсарский переулок 9;25
52;yes;2-й Сайсарский переулок 11;28
53;house;2-й Сайсарский переулок 18;16
54;house;2-й Сайсарский переулок 19;17
55;yes;2-й Сайсарский переулок 5;7
56;house;2-й Сайсарский переулок 44974;21
57;house;2-й Сайсарский переулок 109;22
58;yes;2-й Сайсарский переулок 8;3
59;house;2-й Сайсарский переулок 17;22
60;yes;2-й Сайсарский переулок 12;23
61;yes;2-й Сайсарский переулок 3;5
62;yes;2-й Сайсарский переулок 4;29
