id;"""building""";"""addr_stree""";"""addr_hou_1""";число_жителей
1;house;1-й Академический переулок;11;17
2;house;1-й Академический переулок;9;26
3;house;1-й Академический переулок;13;14
4;house;1-й Академический переулок;20;29
5;house;1-й Академический переулок;3;13
6;house;1-й Академический переулок;4;34
7;house;1-й Академический переулок;10;13
8;house;1-й Академический переулок;12;9
9;house;1-й Академический переулок;2;12
10;house;1-й Академический переулок;14;13
11;house;1-й Академический переулок;18;31
12;house;1-й Академический переулок;16;12
13;house;1-й Академический переулок;15;23
14;house;1-й Академический переулок;1;36
15;house;1-й Академический переулок;8;31
16;house;1-й Академический переулок;5;32
17;house;1-й Академический переулок;6;29
18;house;1-й Академический переулок;44941;27
19;house;1-й Академический переулок;7;26
20;house;1-й Сайсарский переулок;13;34
21;house;1-й Сайсарский переулок;11;24
22;house;1-й Сайсарский переулок;7;15
23;house;1-й Сайсарский переулок;8;13
24;house;1-й Сайсарский переулок;5;30
25;apartments;1-й Сайсарский переулок;1;28
26;house;1-й Сайсарский переулок;9;14
27;house;1-й Сайсарский переулок;12;17
28;house;1-й Сайсарский переулок;10;10
29;house;1-й Сайсарский переулок;3;33
30;house;1-й Сайсарский переулок;17;30
31;house;2-й Академический переулок;3;10
32;house;2-й Академический переулок;9;36
33;house;2-й Академический переулок;13;35
34;house;2-й Академический переулок;4;10
35;house;2-й Академический переулок;11;23
36;house;2-й Академический переулок;1;13
37;house;2-й Академический переулок;14;34
38;house;2-й Академический переулок;7;11
39;house;2-й Академический переулок;10;9
40;house;2-й Академический переулок;2;29
41;house;2-й Академический переулок;15;15
42;house;2-й Академический переулок;18;17
43;house;2-й Академический переулок;12;10
44;house;2-й Академический переулок;8;36
45;house;2-й Академический переулок;16;12
46;house;2-й Академический переулок;6;13
47;house;2-й Академический переулок;5;24
48;yes;2-й Сайсарский переулок;16;33
49;yes;2-й Сайсарский переулок;6;34
50;house;2-й Сайсарский переулок;15;24
51;yes;2-й Сайсарский переулок;9;37
52;yes;2-й Сайсарский переулок;11;35
53;house;2-й Сайсарский переулок;18;29
54;house;2-й Сайсарский переулок;19;23
55;yes;2-й Сайсарский переулок;5;16
56;house;2-й Сайсарский переулок;44974;17
57;house;2-й Сайсарский переулок;109;18
58;yes;2-й Сайсарский переулок;8;23
59;house;2-й Сайсарский переулок;17;29
60;yes;2-й Сайсарский переулок;12;11
61;yes;2-й Сайсарский переулок;3;20
62;yes;2-й Сайсарский переулок;4;37
63;yes;2-й Сайсарский переулок;7;14
64;house;2-й Сайсарский переулок;13;26
65;house;3-й Академический переулок;15;27
66;house;3-й Академический переулок;3;19
67;house;3-й Академический переулок;19;14
68;house;3-й Академический переулок;2;10
69;house;3-й Академический переулок;20;11
70;house;3-й Академический переулок;5;9
71;house;3-й Академический переулок;10;20
72;house;3-й Академический переулок;17;13
73;house;3-й Академический переулок;14;10
74;house;3-й Академический переулок;8;10
75;house;3-й Академический переулок;16;13
76;house;3-й Академический переулок;6;29
77;house;3-й Академический переулок;7;36
78;house;3-й Академический переулок;13;22
79;house;3-й Академический переулок;4;26
80;house;3-й Академический переулок;9;14
81;house;3-й Академический переулок;12;10
82;house;3-й Академический переулок;11;15
83;house;3-й Академический переулок;18;14
84;house;3-й Академический переулок;1;28
85;yes;Вилюйский тракт;к2;25
86;yes;Вилюйский тракт;3 к3;24
87;yes;Вилюйский тракт;3/4 с1;37
88;yes;Вилюйский тракт;3 к1;13
89;yes;Вилюйский тракт;3/4 с3;12
90;yes;Вилюйский тракт;45019;35
91;yes;Вилюйский тракт;3/4 с2;17
92;yes;Вилюйский тракт;44960;29
93;yes;Вилюйский тракт;44927;27
94;yes;Вилюйский тракт;к5;22
95;house;Вилюйский тракт;44939;23
96;house;Вилюйский тракт;44974;27
97;house;Вилюйский тракт;44943;22
98;house;Вилюйский тракт;44972;19
99;house;Вилюйский тракт;13;17
100;house;Вилюйский тракт;44945;30
101;yes;Вилюйский тракт;44929;12
102;house;Вилюйский тракт;44970;28
103;house;Вилюйский тракт;7;33
104;house;Вилюйский тракт;44933;11
105;yes;Вилюйский тракт;3/14а;20
106;yes;Вилюйский тракт;14;34
107;yes;Вилюйский тракт;13;20
108;yes;Вилюйский тракт;12;27
109;yes;Вилюйский тракт;11;10
110;yes;Вилюйский тракт;10А;25
111;yes;Вилюйский тракт;3;10
112;yes;Вилюйский тракт;1;18
113;yes;Вилюйский тракт;2;23
114;yes;Вилюйский тракт;24А;29
115;yes;Вилюйский тракт;25;37
116;yes;Вилюйский тракт;26;36
117;yes;Вилюйский тракт;15;29
118;yes;Вилюйский тракт;16;27
119;yes;Вилюйский тракт;19;19
120;yes;Вилюйский тракт;20А;36
121;yes;Вилюйский тракт;3/22а;30
122;yes;Вилюйский тракт;44986;16
123;yes;Вилюйский тракт;45717;30
124;yes;Вилюйский тракт;30;37
125;yes;Вилюйский тракт;6;17
126;house;Вилюйский тракт 3 км;17;14
127;yes;Вилюйский тракт 3 км;1;14
128;house;Вилюйский тракт 3 км;33;11
129;house;Вилюйский тракт 3 км;37;17
130;house;Вилюйский тракт 3 км;35;10
131;house;Вилюйский тракт 3 км;39/1;23
132;house;Вилюйский тракт 3 км;23;21
133;house;Вилюйский тракт 3 км;39;19
134;house;Вилюйский тракт 3 км;21;26
135;house;Вилюйский тракт 3 км;25;17
136;house;Вилюйский тракт 3 км;44951;30
137;house;Вилюйский тракт 3 км;29;20
